Nivel,Concepto,RENTAS GENERALES,AFECTACION ESPECIFICA,TOTAL 
1.02.01.08,"Aporte Provincial no Reintegrable - ""Plan Alimentario""",0,0,0
1.02.01.09,Aportes no Reintegrables - Sistema de Transporte,0,0,0
1.02.01.10,"Aportes - ""Programa Federal  de Emergencia Habitacional""",0,9453000,9453000
1.02.01.11,Aportes no Reintegrables - Protección Humana,0,0,0
1.02.01.12,"Aportes no Reintegrables - ""Programa Arraigo""",0,0,0
1.02.01.13,"Aportes no Reintegrables - ""C.I.C Ordenanza Nº 10.919""",0,0,0
1.02.01.14,"Aportes no Reintegrables - ""C.I.C Ordenanza Nº 10.970""",0,0,0
1.02.01.15,"Aportes no Reintegrables - ""C.I.C Ordenanza Nº 11.054""",0,0,0
1.02.01.16,Aporte del Tesoro Nacional,0,0,0
1.02.01.17,Aporte Nacional no Reintegrable - Hogar de Ancianos Padre La Monaca Ord. Nº 11.066,0,0,0
1.02.01.18,Acuerdo Marco Secretaria de Ambiente - Ordenanza N° 11.158,0,397400,397400
1.02.01.19,Aportes Destinados a Erogaciones del Área de Salud,0,0,0
1.02.01.20,Aportes Programas Para Personas Con Discapacidad,0,0,0
1.02.01.21,Plan Integral de Cloacas - Ordenanza Nº 11.436,0,0,0
1.02.01.23,Acuerdo con Ciudad de Torino - Ordenanza Nº 11.555,0,0,0
1.02.01.27,Convenio Único de Colaboración - Ordenanza Nº 11.603,0,0,0
1.02.01.28,Convenio Apoyo Económico Ministerio de Desarrollo Social de La Nación - Ordenanza Nº 11.599,0,0,0
1.02.01.31,Convenio de Apoyo Económico del Ministerio de Desarrollo Social de la Nación - Ordenanza Nº 11.647,0,0,0
1.02.01.32,"Convenio Marco del Plan Integral ""Más y Mejor Trabajo"" - Ordenanza Nº 11.597",0,0,0
1.02.01.33,"Aportes no Reintegrables - Convenio Marco de Cooperacion Niñez, Adolescencia y Familia -Ordenanza Nº 11.655",0,0,0
1.02.01.34,Subsidio no Reintegrable del Ministerio de Desarrollo Social de la Nación - Ord. Nº 11.662,0,0,0
1.02.01.35,Programa Federal de Integración Socio - Comunitaria Ordenanza Nº 11.853,0,6151950,6151950
1.02.01.37,Fondo Córdoba Ciudad Educadora - Ordenanza 12.174,0,0,0
1.02.01.38,Convenio de Equidad y Ordenamiento Fiscal - Ordenanza Nº 12.537,741505700,0,741505700
1.02.01.39,"Programa de Financiamiento de Obras Viales Urbanas, Periurbanas, Caminos de Producción, Accesos a Pueblos y Obras de Seguridad",822516984,0,822516984
1.02.01.40,Programa Mejoramiento Barrial,229291907,0,229291907
1.02.01.41,Programa Casa del Futuro,6985988,0,6985988
1.02.01.42,Programa Techo Digno,928961978,0,928961978
1.02.02,OTROS INGRESOS,0,0,0
1.02.02.01,Fondo de Cooperación Cultural de España - Ordenanza N° 9844/97,0,0,0
2,INGRESOS DE CAPITAL,390000000,0,390000000
2.01,USO DEL CREDITO,390000000,0,390000000
2.01.01,Préstamos para Obras Diversas,0,0,0
2.01.02,Préstamos del B.I.R.F. y/o del F.I.M.,0,0,0
2.01.03,Préstamos del B.I.D. y  F.I.M.,0,0,0
2.01.04,Préstamos del B.I.D. -  Ordenanza N° 10.208,0,0,0
2.01.05,Préstamos para Fondo de Infraestructura,0,0,0
2.01.06,Préstamos Ordenanza Nº 10.270,0,0,0
2.01.07,Préstamos Ordenanza Nº10.279 ,0,0,0
2.01.08,Préstamos para financiar compra de inmuebles,0,0,0
2.01.09,Créditos de Corto Plazo,0,0,0
2.01.10,Créditos de Mediano Plazo,390000000,0,390000000
2.01.11,Créditos de Largo Plazo,0,0,0
2.01.12,Otros Usos del Crédito,0,0,0
2.02,VENTA DE ACTIVO FIJO,0,0,0
2.03,VENTA DE BIENES EN DESUSO,0,0,0
3,REMANENTE DE EJERCICIOS ANTERIORES,1434000000,0,1434000000
